date_dd/mm/yyyy,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd,city_location
2020-01-09,Byjus,E-Tech,E-learning,Bangalore,Tiger Global Management,private equity,200000000.0,Bangalore
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,series c,8048394.0,Gurgaon
2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,series b,18358860.0,Bangalore
2020-01-02,wealth bucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,series a,3000000.0,New Delhi
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,seed funding,1800000.0,Mumbai
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,series a,9000000.0,Chennai
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,private equity,150000000.0,Gurgaon
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,series a,6000000.0,Pune
2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,series d,70000000.0,Gurgaon
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",seed funding,50000000.0,Bangalore
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",series f,20000000.0,Gurgaon
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",series c,12000000.0,Bangalore
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,series e,30000000.0,Bangalore
2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Not Disclosed,debt funding,5900000.0,Mumbai
2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,seed funding,2000000.0,Bangalore
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),seed funding,50000000.0,Noida
2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,series g,231000000.0,Faridabad
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",series h,150000000.0,San Francisco
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",series b,486000.0,Gurgaon
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",seed funding,1500000.0,Gurgaon
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,venture capital funding,1700000.0,Gurgaon
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",series b,12000000.0,Gurgaon
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,debt funding,26000000.0,Bangalore
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,debt funding,17411265.0,Gurgaon
2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,seed funding,1300000.0,Pune
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",series c,135000000.0,"San Jose,"
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,seed funding,300000.0,Amritsar
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,seed funding,220000000.0,Delhi
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",series b,15800000.0,Mumbai
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",series b,283000000.0,Kormangala
2019-11-19,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,unknown,200000000.0,Tulangan
2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,funding round,1000000000.0,Noida
2019-10-04,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,series d,45000000.0,Bangalore
2019-10-02,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",series d,585000000.0,Bangalore
